0,1,2,3,4,5
ﺎﻤﻠﺠﻣﻮﻋﺓ ﻼﺛﻼﺛﺓ,,,,,
ﺃ. ﻢﺧﻼﻓﺎﺗ ﺖﺘﻌﻠﻗ ﺐﺴﻟﻮﻛ ﺎﻤﻟﻮﻈﻓ,,,,,
ﺩﺮﺟﺎﺗ ﻼﺟﺯﺍﺀ,,,,,ﻥﻮﻋ ﺎﻤﻠﺧﻼﻓﺓ
ﺙﻼﺛ ﻡﺭﺓ,,ﺙﺎﻨﻳ ﻡﺭﺓ,,ﺃﻮﻟ ﻡﺭﺓ,
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺙﻼﺛﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","ﻼﺤﻛﻮﻤﻴــﺓ
ﻞﻠﺠﻬــﺓ 
ﺄﻴــﺓ  ﻢﻤﺘﻠــﻛﺎﺗ 
ﺎﺴــﺘﻌﻣﻻ 
1- 
ﺶــﺨﺼﻳﺓ.
ﻸﻐــﺭﺎﺿ "
"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ ﻻﺭﺎﺘﺑ
ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺙﻼﺛﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",2- ﻼﺧﺭﻮﺟ ﻊﻠﯨ ﺡﺩﻭﺩ ﻼﻠﻳﺎﻗﺓ ﻢﻋ ﻼﺠﻤﻫﻭﺭ.
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺙﻼﺛﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","3- ﻼﺴــﻟﻮﻛ ﺃﻭ ﺎﻤﻠﻈﻬــﺭ ﻎﻴــﺭ ﻻﻼﺌــﻗ ﻼــﺬﻳ ﻻ ﻲﺘﻔــﻗ ﻢــﻋ
ﻙﺭﺎﻤــﺓ ﻻﻮﻈﻴﻔــﺓ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺙﻼﺛﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","ﺍ
 ﻊﻠﯨ ﻻﺰﻣﻻﺀ ﺃﻭ ﻻﺭﺆﺳﺍﺀ
4- ﺍﻻﺪﻋﺍﺀ ﻙﺬﺑ"
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","5- ﻼﺘﺸــﺎﺟﺭ ﻭﺈﺤــﺩﺎﺛ ﻼﺸــﻐﺑ ﻭ ﺍﻺﺨــﻼﻟ ﺏﻼﻨﻈــﺎﻣ
ﻒــﻳ ﻢــﻛﺎﻧ ﻼﻌﻤــﻟ ﺃﻭ ﻒــﻳ ﺄﺤــﺩ ﻢﻠﺤﻗﺎﺘــﻫ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺍ
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ 
 ﻢﻧ ﻻﺭﺎﺘﺑ 
ﻱﻮﻣ
ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",6- ﺈﺳﺍﺀﺓ ﺎﺴﺘﻌﻣﻻ ﻼﺴﻠﻃﺓ ﺃﻭ ﺎﺴﺘﻏﻼﻟ ﻼﻨﻓﻭﺫ.
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","7-  ﺇﺮﺴــﻻ  ﺶــﻛﺍﻮﻳ  ﻙﺍﺬﺒــﺓ  ﻺــﯨ  ﺎﻤﻠﺴــﺋﻮﻠﻴﻧ  ﺏﻼﺠﻬــﺓ
ﻼﺤﻛﻮﻤﻴــﺓ 
ﺃﻭ  ﺥﺍﺮﺠﻬــﺍ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","8- ﺍﻹﺩﻻﺀ ﺐﺸــﻫﺍﺩﺓ ﻻ ﺖﻃﺎﺒــﻗ ﻻﻭﺎﻘــﻋ ﺃﻭ ﺍﻼﻤﺘﻨــﺎﻋ ﻊــﻧ
ﻼﺸــﻫﺍﺩﺓ ﻒــﻳ ﻼﺘﺤﻘﻴﻘــﺎﺗ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,"ﺍ
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ 
 ﻢﻧ ﻻﺭﺎﺘﺑ 
ﻱﻮﻣ
ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ","9-  ﻼﺘﺴــﺗﺭ  ﻊﻠــﯨ  ﺎﻤﻠﺧﻼﻔــﺎﺗ  ﺎﻤﻠﺘﻌﻠﻘــﺓ  ﺏﻼﻌﻤــﻟ  ﻼﺘــﻳ
ﻱﺮﺘﻜﺒﻬــﺍ  ﻎﻴــﺮﻫ  ﻢــﻧ  ﺎﻤﻟﻮﻈﻔﻴــﻧ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,,,10- ﺍﺮﺘﻛﺎﺑ ﻒﻌﻟ ﻢﺨﻟ ﺏﺍﻵﺩﺎﺑ ﻒﻳ ﻢﻛﺎﻧ ﻼﻌﻤﻟ.
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,"ﺦﺼﻣ ﺦﻤﺳﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,11- ﺍﻼﻌﺗﺩﺍﺀ ﻊﻠﯨ ﻻﺰﻣﻻﺀ ﺃﻭ ﺎﻤﻠﺳﺅﻮﻠﻴﻧ ﻒﻳ ﻼﻌﻤﻟ.
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"12- ﺍﻼﻌﺘــﺩﺍﺀ ﺃﻭ ﻼﺘﻄــﺍﻮﻟ ﻊﻠــﯨ ﻼﺠﻤﻬــﻭﺭ ﺎﻤﻠﺘﻋﺎﻤــﻟ
ﻢــﻋ ﻼﺠﻬــﺓ ﻼﺤﻛﻮﻤﻴــﺓ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,"ﺍ
 
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ ﻱﻮﻣ
ﻢﻧ ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"13- ﻼﻜﺸــﻃ ﺃﻭ ﻼﺘﻐﻴﻴــﺭ ﻒــﻳ ﺎﻤﻠﺴــﺘﻧﺩﺎﺗ ﻻﺮﺴــﻤﻳﺓ
ﻼﺧﺎﺼــﺓ  ﺏﻼﺠﻬــﺓ  ﻼﺤﻛﻮﻤﻴــﺓ    ﺐﻘﺼــﺩ  ﺍﻺﺨﻔــﺍﺀ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,"ﺍ
 
ﺦﺼﻣ ﺦﻤﺳﺓ ﻊﺷﺭ ﻱﻮﻣ
ﻢﻧ ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"14- ﻖﺒــﻮﻟ ﺃﻭ ﻂﻠــﺑ ﻦﻘــﻭﺩ ﺃﻭ ﺄﺸــﻳﺍﺀ ﺄﺨــﺮﯨ ﺃﻭ ﻩﺩﺎﻴــﺍ
ﻢــﻧ  ﺄﻳ  ﺶــﺨﺻ  ﺐﻘﺼــﺩ  ﻼﻘﻴــﺎﻣ  ﺐــﺄﻳ  ﻊﻤــﻟ  ﻲﺘﻌﻠــﻗ 
ﺏﻼﺠﻬــﺓ  ﻼﺤﻛﻮﻤﻴــﺓ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"15-  ﺈﻌﻄــﺍﺀ  ﻦﻘــﻭﺩ  ﺃﻭ  ﺄﺸــﻳﺍﺀ  ﺄﺨــﺮﯨ  ﺃﻭ  ﻩﺩﺎﻴــﺍ  ﻸﻳ
ﻡﻮﻈــﻓ ﺏﻼﺠﻬــﺓ ﻼﺤﻛﻮﻤﻴــﺓ ﺐﻘﺼــﺩ ﺍﻼﺴــﺘﻓﺍﺩﺓ ﻢــﻧ 
ﻭﺭﺍﺀ  ﺬﻠــﻛ  ﻒــﻳ  ﻊﻤﻠــﻫ  ﺏﻼﺠﻬــﺓ  ﻼﺤﻛﻮﻤﻴــﺓ."
ﺈﺣﻻﺓ ﻺﯨ ﻞﺠﻧﺓ ﺍﻼﻨﻀﺑﺎﻃ ﻻﻮﻈﻴﻔﻳ,,,"ﺦﺼﻣ ﻊﺷﺭﺓ ﺄﻳﺎﻣ ﻢﻧ
ﻻﺭﺎﺘﺑ ﺍﻸﺳﺍ�ﺲﻳ",,"16-  ﺎﻨﺘﺤــﻻ  ﺶــﺨﺼﻳﺓ  ﻎﻴــﺭ  ﺢﻘﻴﻘﻴــﺓ  ﺃﻭ  ﺖﻗﺪﻴــﻣ
ﺶــﻫﺍﺩﺎﺗ  ﺃﻭ  ﺄﻴــﺓ  ﺃﻭﺭﺎﻗ  ﺄﺨــﺮﯨ  ﻢــﺯﻭﺭﺓ  ﺃﻭ  ﺈﺨﻔــﺍﺀ 
ﺐﻳﺎﻨــﺎﺗ  ﺝﻮﻫﺮﻴــﺓ  ﻭ  ﺬﻠــﻛ  ﺐﻘﺼــﺩ  ﻼﺤﺼــﻮﻟ  ﻊﻠــﯨ 
ﺕﺮﻘﻴــﺓ  ﺃﻭ  ﻊــﻻﻭﺓ  ﺃﻭ  ﻢﻛﺎﻔــﺂﺗ  ﺃﻭ  ﺄﻳ  ﻢﻴــﺯﺓ  ﺄﺨــﺮﯨ."
