,,,,,"ﻳﻤﻠﻌﻼ ﻟﻬﺆﻟﻤﺎﻭ ﺓﺭﺑﺨﻼ ﺗﺎﻭﻧﺲ ﻗﻔﻮ :ﻧﻴﻴﻌﺘﻼ
ﻳﻤﻠﻌﻼ ﻟﻬﺆﻟﻤﺎ ﻗﻔﻮ : ﺓﻳﻔﻴﻈﻮﻻ ﺗﺎﻳﻘﺮﺗﻼ",,
ﺓﺟﺮﺩﻻ,ﻳﻤﻠﻌﻼ ﻟﻬﺆﻟﻤﺎ,ﻫﺎﺭﻭﺗﻜﺪ,ﺭﻳﺘﺴﺠﺎﻡ,ﺳﻮﻳﺮﻭﻻﻛﺐ,"ﻣﻮﻟﺒﺪﻻ ﺓﺩﺍﻫﺶ
ﺗﺎﻭﻧﺲ ﺛﻼﺙ
ﻧﻴﺘﻨﺲ ﻭﺃ","ﺓﻧﺲ ﻣﻮﻟﺒﺪ
ﺓﺩﺣﺎﻭ
ﺓﻳﻮﻧﺎﺛﻼﻭ
ﺓﻣﺎﻋﻼ","ﺓﻳﻮﻧﺎﺛﻼ ﻧﻮﺩ
ﺓﻣﺎﻋﻼ"
ﯨﻠﻮﻷﺍ,"ﻭﺃ )ﺭﻳﺘﺴﺠﺎﻡ ﻭﺃ ﻫﺎﺭﻭﺗﻜﺪ(
.ﻫﻠﺪﺍﻋﻲ ﺍﻡ ﻭﺃ ﺳﻮﻳﺮﻭﻻﻛﺐ",)12(,)18(,)18(,"ﺍﻟﺘﺮﻗﻴﺔﺍﻟﻮﻇﻴﻔﻴﺔ
ﻻ
ﻳﺘﻢ
ﺍﻟﺘﻌﻴﻴﻦ ﻭﻻ","ﻭﻻ
ﻻ ﺍﻟﺘﺮﻗﻴﺔﺍﻟﻮﻇﻴﻔﻴﺔ
ﻳﺘﻢ
ﺍﻟﺘﻌﻴﻴﻦ","ﻭﻻ
ﻻ ﺍﻟﺘﺮﻗﻴﺔﺍﻟﻮﻇﻴﻔﻴﺔ
ﻳﺘﻢ
ﺍﻟﺘﻌﻴﻴﻦ"
ﺓﻳﻨﺎﺛﻼ,"ﻭﺃ )ﺭﻳﺘﺴﺠﺎﻡ ﻭﺃ ﻫﺎﺭﻭﺗﻜﺪ(
.ﻫﻠﺪﺍﻋﻲ ﺍﻡ ﻭﺃ ﺳﻮﻳﺮﻭﻻﻛﺐ",)6(,)12(,)12(,,,
ﺓﺛﻼﺛﻼ,"ﻭﺃ )ﺭﻳﺘﺴﺠﺎﻡ ﻭﺃ ﻫﺎﺭﻭﺗﻜﺪ(
.ﻫﻠﺪﺍﻋﻲ ﺍﻡ ﻭﺃ ﺳﻮﻳﺮﻭﻻﻛﺐ",-,)6(,)6(,"ﺓﺑﺴﻨﻼﺏ )18(
ﺓﺩﺍﻫﺶ ﯨﻠﻊ ﻧﻴﻠﺼﺎﺣﻠﻞ
ﻧﻴﺘﻨﺲ ﻣﻮﻟﺒﺪﻻ
ﺓﺑﺴﻨﻼﺏ )12(
ﺓﺩﺍﻫﺶ ﯨﻠﻊ ﻧﻴﻠﺼﺎﺣﻠﻞ
ﺗﺎﻭﻧﺲ ﺛﻼﺙ ﻣﻮﻟﺒﺪﻻ",,
,,,,ﻳﻤﻠﻌﻼ ﻟﻬﺆﻟﻤﺎ ﺑﺴﺢ ﻧﻴﻴﻌﺘﻼ,,,
ﺓﻋﺒﺎﺭﻻ,"ﻻﺟﻢ ﺭﻳﻎ ﻳﻒ ﻫﺎﺭﻭﺗﻜﺪ(
ﻟﺼﺎﺣﻼ ﻭﺃ )ﺻﺼﺨﺘﻼ
ﺍﻡ ﻭﺃ ﺳﻮﻳﺮﻭﻻﻛﺒﻼ ﻭﺃ ﺭﻳﺘﺴﺠﺎﻡ
.ﺓﺭﺑﺦ ﻧﻮﺩﺑﻮ ﻫﻠﺪﺍﻋﻲ",,,"ﺍﻟﺘﻌﻴﻴﻦ
ﻋﻠﻰ
ﺍﻟﺪﺭﺟﺎﺕ
ﻃﺒﻘﺎ
 ﻟﻠﻤﺆﻫﻞ
ﺑﺪﻭﻥ
ﺳﻨﻮﺍﺕ
ﺧﺒﺮﺓ","ﺓﺑﺴﻨﻼﺏ )12(
ﺓﺩﺍﻫﺶ ﯨﻠﻊ ﻧﻴﻠﺼﺎﺣﻠﻞ
ﻧﻴﺘﻨﺲ ﻣﻮﻟﺒﺪﻻ
ﻧﻴﻠﺼﺎﺣﻠﻞ ﺓﺑﺴﻨﻼﺏ )6(
ﻣﻮﻟﺒﺪﻻ ﺓﺩﺍﻫﺶ ﯨﻠﻊ
ﺗﺎﻭﻧﺲ ﺛﻼﺙ",)18(,
ﺓﺳﻤﺎﺧﻼ,"ﻭﺃ ﻣﻮﻟﺒﺪﻻ ﯨﻠﻊ ﻟﺼﺎﺣﻼ
ﻫﺘﺪﻡ ﻏﻠﺒﺖ ﻳﺬﻻﻭ ﻫﻠﺪﺍﻋﻴﺎﻡ
ﺩﻋﺐ ﺗﺎﻭﻧﺲ ﺛﻼﺙ ﺓﻳﺴﺎﺭﺩﻻ
.ﺭﺷﻊ ﻳﻨﺎﺛﻼ ﻓﺼﻼ",,,,"ﻧﻴﻠﺼﺎﺣﻠﻞ ﺓﺑﺴﻨﻼﺏ )6(
ﻣﻮﻟﺒﺪﻻ ﺓﺩﺍﻫﺶ ﯨﻠﻊ
ﻧﻴﺘﻨﺲ",)12(,)18(
ﺓﺳﺪﺍﺳﻼ,"ﻭﺃ ﻣﻮﻟﺒﺪﻻ ﯨﻠﻊ ﻟﺼﺎﺣﻼ
ﻫﺘﺪﻡ ﻏﻠﺒﺖ ﻳﺬﻻﻭ ﻫﻠﺪﺍﻋﻲ ﺍﻡ
ﻓﺼﻼ ﺩﻋﺐ ﻧﻴﺘﻨﺲ ﺓﻳﺴﺎﺭﺩﻻ
.ﺭﺷﻊ ﻳﻨﺎﺛﻼ",,,,-,)6(,)12(
ﺓﻋﺒﺎﺳﻼ,"ﻭﺃ ﻣﻮﻟﺒﺪﻻ ﯨﻠﻊ ﻟﺼﺎﺣﻼ
ﻫﺘﺪﻡ ﻏﻠﺒﺖ ﻳﺬﻻﻭ ﻫﻠﺪﺍﻋﻲ ﺍﻡ
ﺩﻋﺐ ﺓﺩﺣﺎﻭ ﺓﻧﺲ ﺓﻳﺴﺎﺭﺩﻻ
ﺓﻟﻤﺤﻮ ﺭﺷﻊ ﻳﻨﺎﺛﻼ ﻓﺼﻼ
ﺓﻳﻮﻧﺎﺛﻼ( ﺭﺷﻊ ﻳﻨﺎﺛﻼ ﻓﺼﻼ
.ﺍﻫﻠﺪﺍﻋﻴﺎﻡ ﻭﺃ )ﺓﻣﺎﻋﻼ",,,,-,-,)6(
ﺓﻧﻤﺎﺛﻼ,"ﻧﻢ ﺭﺷﻊ ﻳﺪﺍﺣﻼ ﻓﺼﻼ
ﺓﻳﻮﻧﺎﺛﻼ ﺓﻟﺤﺮﻟﻤﺎ",,,,-,-,-
